928 814
928 465 -470
517 615 605
334 893 912
501 833 489
245 891 -120
12 451 -232
926 380 -771
540 362 347
742 164 12
722 871 810
693 208 -238
356 139 965
457 870 131
329 189 -600
705 912 251
888 621 -44
721 669 -86
72 469 -688
3 817 212
560 734 242
300 295 -188
47 409 -265
495 362 -890
647 779 643
329 204 425
504 903 -958
889 583 -366
433 202 -894
676 609 276
203 586 -827
314 406 -799
681 187 -85
346 555 304
761 737 -846
202 684 -801
409 660 -16
171 181 -106
534 458 317
159 719 414
722 204 -529
398 209 135
160 408 318
605 76 524
506 266 184
873 207 922
158 44 -251
632 532 679
567 288 -50
620 663 730
900 405 519
268 301 627
85 767 109
738 650 -174
335 901 123
135 604 -110
4 604 -345
877 825 -78
65 160 207
432 164 -782
921 533 -513
469 863 209
37 825 322
309 509 -942
493 165 -736
392 722 415
290 54 966
258 695 686
836 804 834
22 321 657
819 555 -32
503 871 588
628 549 -392
417 76 160
544 412 558
836 570 431
479 749 -377
161 596 -931
546 533 160
197 718 -410
670 601 -510
156 220 194
330 627 490
709 403 639
96 604 -487
870 124 -442
371 640 276
209 590 173
923 217 824
554 426 -187
813 330 128
678 334 863
715 509 -846
618 867 -763
297 578 952
628 98 -358
58 743 763
84 802 -974
136 824 141
151 224 -390
707 875 -204
683 572 966
151 887 -672
856 700 -565
461 30 862
290 432 -495
330 233 808
806 360 163
66 861 -547
418 795 871
1 483 353
62 24 724
769 695 -103
104 717 357
199 377 -397
255 4 -4
47 235 -186
810 172 -734
504 89 317
193 207 159
375 899 990
62 135 -927
179 83 -230
775 865 -455
895 924 305
109 229 -674
511 640 778
585 387 11
552 59 107
687 572 358
784 331 -467
663 843 624
575 847 -309
154 432 103
345 418 -489
253 414 924
233 839 498
60 286 -393
341 666 567
529 447 -198
863 125 -905
107 487 -504
213 536 754
273 771 326
556 751 218
317 468 -11
679 490 512
562 842 414
212 335 -594
688 389 199
617 295 -287
264 386 560
423 170 206
109 748 -67
216 819 52
223 61 682
293 322 484
656 770 263
906 161 890
529 829 550
444 208 266
182 350 -88
192 447 238
697 338 108
49 182 -97
849 685 -659
103 861 464
432 789 625
426 250 576
50 920 -633
888 348 -213
541 48 -462
169 159 602
484 908 -147
183 647 -360
676 563 -743
912 460 -450
618 647 -236
25 676 643
526 722 179
260 669 116
916 364 596
826 708 -277
352 213 631
585 285 -491
834 166 769
5 435 -649
287 867 967
857 780 -311
727 777 -387
648 730 536
378 2 -267
231 507 -504
459 25 420
122 513 244
550 103 156
744 851 30
880 892 -464
876 736 -47
720 710 -869
532 420 185
759 386 858
298 187 295
45 561 948
917 176 -207
149 376 -53
169 808 -519
551 17 506
262 156 -307
755 858 274
810 209 575
732 659 -88
678 786 -289
641 776 -508
386 820 484
678 274 947
760 91 -579
39 915 -343
764 437 -780
236 532 388
193 669 427
500 382 614
544 894 728
707 851 -498
235 404 -133
168 58 -153
24 488 -30
56 124 58
268 507 411
926 804 705
166 620 416
521 734 -107
797 254 357
761 874 11
659 632 -471
318 7 -228
600 916 485
481 119 -704
802 59 957
426 922 523
573 552 -829
776 906 -534
86 438 273
901 549 -121
717 397 265
55 795 -13
837 742 -608
37 833 543
511 40 -656
833 720 100
563 867 247
635 398 203
140 469 140
652 407 -200
175 635 -396
699 536 -505
367 193 -638
821 265 21
336 74 -233
229 657 401
125 638 923
872 375 548
123 200 -514
155 781 -531
555 148 147
666 849 795
528 401 -820
129 533 658
202 338 170
655 273 915
63 613 976
71 195 -200
772 69 712
419 241 -167
126 516 -544
544 410 -245
313 400 122
924 916 -468
406 739 830
737 562 -431
369 175 124
719 6 513
687 398 951
920 372 -953
348 619 -147
293 637 -816
381 126 462
329 526 681
231 383 290
115 403 779
637 627 740
603 64 -34
99 470 171
850 604 -365
85 318 -271
182 84 34
865 697 476
421 46 755
498 384 13
590 222 -4
380 100 -423
185 289 -307
358 654 969
441 12 -257
424 515 538
568 331 -591
613 154 101
209 166 -196
732 520 716
467 350 400
95 298 326
269 58 807
277 376 -370
750 909 371
896 321 -438
385 819 -857
842 536 -982
919 729 -161
406 450 54
51 301 591
803 150 995
734 754 973
166 847 -675
720 13 -268
63 62 797
265 389 731
311 312 904
811 457 -292
609 180 262
90 62 344
348 197 -214
28 770 180
684 690 -694
632 257 -383
151 213 45
615 432 -316
145 474 -458
487 153 423
46 388 -610
216 50 259
435 226 -709
572 215 -940
151 564 -963
210 220 555
621 600 425
926 170 279
203 192 -134
151 590 316
651 653 144
586 131 773
155 662 -447
238 31 682
193 312 -193
302 417 838
592 3 -479
361 420 115
204 512 -509
688 20 472
730 423 -830
815 866 577
133 461 -761
23 91 -71
650 600 174
674 747 -363
384 745 360
805 814 -665
632 923 919
362 519 135
286 581 -287
65 588 332
660 343 371
751 756 -344
805 558 247
609 279 866
355 759 450
354 39 29
498 432 -170
184 574 652
248 639 -568
359 46 918
696 193 -46
94 859 168
849 63 -324
464 601 782
802 888 585
309 681 -898
1 882 -756
812 714 556
909 100 906
448 415 583
868 712 -522
366 368 -156
63 860 813
733 661 988
871 233 -71
154 451 508
71 583 749
782 75 -886
62 748 1000
879 263 -151
395 541 312
58 566 -867
380 241 -309
888 535 307
441 154 -700
903 21 596
202 301 204
503 451 802
304 455 476
856 505 692
310 118 416
39 895 407
814 538 652
339 829 340
663 128 -594
927 689 -269
833 860 -184
296 863 962
907 848 363
309 512 -370
173 803 -343
144 431 628
176 113 936
655 486 693
188 431 -901
570 688 749
542 550 412
921 99 678
726 700 997
113 270 -653
200 805 673
88 767 -310
799 901 -843
329 396 147
118 766 -447
176 814 -151
404 406 856
30 589 38
198 665 357
204 409 753
258 592 945
880 149 111
406 839 -426
103 423 47
373 532 261
173 378 983
228 629 -360
522 495 691
643 353 -170
251 540 -703
825 845 -628
305 266 -790
756 759 -221
28 245 -121
166 617 192
137 754 585
404 829 -616
518 825 405
279 333 -806
197 681 -127
327 122 615
34 133 439
74 113 133
824 785 493
