995 2918
124 767 18
902 292 810
583 454 354
233 881 302
346 902 889
439 581 954
600 784 548
771 483 917
778 211 959
34 670 833
628 610 333
510 777 784
486 34 662
409 141 994
365 285 156
401 5 991
127 565 837
668 943 42
656 547 407
722 992 808
540 6 926
29 662 964
908 172 797
156 15 968
926 579 936
885 898 747
366 445 74
641 136 754
360 587 205
669 639 273
431 497 940
496 342 63
137 885 517
462 137 140
960 428 638
260 161 129
155 743 663
269 239 601
569 545 116
612 314 356
524 348 895
554 366 800
517 348 25
182 790 249
328 208 5
545 816 107
795 292 407
915 910 946
428 73 231
290 881 511
227 371 114
132 866 719
280 833 635
118 276 779
640 317 793
335 36 917
136 696 533
582 757 558
664 725 818
986 848 141
52 288 350
585 795 76
654 227 674
3 430 142
164 793 114
944 793 483
935 570 695
721 902 273
588 65 248
636 108 904
719 187 881
911 494 485
739 884 898
536 44 358
659 24 986
717 903 782
335 438 354
336 157 293
261 67 59
673 444 416
806 469 387
408 377 170
859 946 269
345 884 339
388 19 603
912 638 913
164 13 735
693 384 851
527 665 641
432 643 364
417 824 233
375 460 425
412 666 917
748 162 736
401 789 657
466 753 773
18 735 236
416 628 554
844 16 893
104 226 425
739 988 712
310 633 937
253 516 856
33 711 88
683 135 316
978 799 550
518 564 345
511 871 307
837 182 327
994 967 374
504 937 989
110 841 105
25 384 925
160 896 337
179 764 711
880 43 773
203 569 977
992 134 386
190 962 571
469 689 990
655 122 220
826 159 867
249 499 152
815 512 365
609 266 270
349 99 535
765 754 15
223 239 664
107 459 599
367 621 229
94 160 43
906 311 304
171 933 956
392 332 490
337 41 725
261 206 184
353 45 96
574 256 557
488 777 633
198 859 710
531 447 960
903 879 243
832 328 213
770 252 662
655 882 840
260 143 512
449 685 763
68 239 325
956 692 769
761 207 574
170 372 513
902 464 158
235 398 138
7 841 523
943 74 141
710 919 17
627 316 475
537 923 745
826 456 3
262 920 318
223 507 575
523 827 879
394 717 664
376 491 416
440 831 398
361 700 297
202 443 470
137 477 659
75 303 74
949 130 544
852 328 388
90 849 568
134 623 760
712 360 849
592 294 832
240 267 38
936 464 468
37 536 48
226 301 641
891 959 413
681 288 804
719 915 177
272 942 366
453 222 634
791 301 310
589 596 317
859 495 441
952 960 102
329 403 478
245 655 531
247 563 717
355 675 758
43 986 666
359 87 600
603 725 115
323 590 424
235 250 825
235 890 555
556 601 324
770 414 650
591 63 330
686 37 471
807 746 899
515 903 822
181 880 670
566 674 396
486 516 707
404 924 858
412 266 288
558 829 290
827 401 430
986 910 959
536 477 467
393 412 794
268 993 453
690 364 783
724 469 401
846 247 238
175 418 290
970 954 185
335 405 38
344 500 591
101 982 801
208 335 669
574 456 731
436 855 268
556 392 130
12 620 738
991 468 251
927 192 756
908 746 354
763 573 573
785 512 287
901 45 115
980 803 521
889 107 69
647 587 959
953 868 299
521 602 161
33 255 86
687 525 859
515 503 846
347 137 386
441 67 784
362 679 905
97 213 564
688 578 476
339 173 302
965 260 588
916 362 135
827 877 578
588 868 469
888 962 344
923 36 956
665 545 864
84 783 827
952 494 530
148 956 631
758 483 525
947 975 241
431 914 316
510 554 911
872 252 292
768 628 487
946 841 637
739 299 167
966 62 847
470 847 21
378 866 871
558 75 653
842 297 605
425 362 317
406 331 996
541 153 890
396 29 294
547 860 327
89 417 35
828 789 575
849 215 776
247 198 155
589 1 533
328 800 485
5 104 375
916 346 306
695 991 443
593 389 956
234 682 867
739 1 928
120 897 593
79 349 846
283 660 108
422 763 423
766 974 947
565 689 128
818 42 876
694 848 303
793 603 626
451 82 785
471 705 901
573 462 229
845 219 511
627 285 913
910 980 51
5 430 332
341 211 376
675 292 184
281 552 770
709 680 623
291 121 913
412 476 905
352 657 470
995 646 19
941 46 826
736 483 780
426 392 539
272 145 968
143 133 779
351 345 105
514 708 979
472 946 224
659 679 314
9 575 687
627 430 33
378 70 130
136 117 413
484 14 682
532 299 560
803 435 496
932 143 5
303 741 233
669 693 637
491 8 203
888 128 246
812 215 266
237 35 428
112 422 481
